id,isPartOf,name_isPartOf,isPartOf2,name_isPartOf2,EXPORT
archeologicky_ustav_brno,avcr,AV ČR,research,Věda a výzkum,"archeologicky_ustav_brno---Archeologický ústav, Brno|||Královopolská 147, 612 00 Brno|||http://www.arub.cz/|||http://arub.avcr.cz/knihovna/"
archeologicky_ustav_praha,avcr,AV ČR,research,Věda a výzkum,"archeologicky_ustav_praha---Archeologický ústav, Praha|||Letenská 4,  118 01 Praha 1|||http://www.arup.cas.cz/|||http://www.arup.cas.cz/?cat=52"
astronomicky_ustav,avcr,AV ČR,research,Věda a výzkum,"astronomicky_ustav---Astronomický ústav|||Fričova 298,  251 65 Ondřejov|||http://www.asu.cas.cz/|||http://www.asu.cas.cz/knihovna"
biofyzikalni_ustav,avcr,AV ČR,research,Věda a výzkum,"biofyzikalni_ustav---Biofyzikální ústav|||Královopolská 135,  612 65 Brno|||http://www.ibp.cz/|||"
biologicke_centrum,avcr,AV ČR,research,Věda a výzkum,"biologicke_centrum---Biologické centrum|||Branišovská 1160/31, České Budějovice|||http://www.bc.cas.cz/|||http://www.bc.cas.cz/cz/sluzby/knihovna/"
biotechnologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"biotechnologicky_ustav---Biotechnologický ústav|||Vídeňská 1083,  Praha 4, 142 20|||http://www.ibt.cas.cz/cs|||"
botanicky_ustav,avcr,AV ČR,research,Věda a výzkum,"botanicky_ustav---Botanický ústav|||Zámek 1,  252 43 Průhonice|||http://www.ibot.cas.cz/|||https://www.ibot.cas.cz/cs/knihovna/"
centrum_pro_vyzkum_verejneho_mineni,avcr,AV ČR,research,Věda a výzkum,"centrum_pro_vyzkum_verejneho_mineni---Sociologický ústav (CVVM)|||Jilská 1, 110 00 Praha 1|||http://cvvm.soc.cas.cz/|||"
centrum_vyzkumu_globalni_zmeny,avcr,AV ČR,research,Věda a výzkum,"centrum_vyzkumu_globalni_zmeny---Ústav výzkumu globální změny|||Bělidla 4a, 603 00 Brno|||http://www.czechglobe.cz/|||http://www.czechglobe.cz/cs/knihovna/"
entomologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"entomologicky_ustav---Entomologický ústav|||Branišovská 1160/31, České Budějovice|||http://www.entu.cas.cz/|||"
etnologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"etnologicky_ustav---Etnologický ústav|||Na Florenci 3/1420, 110 00 Praha 1|||http://www.eu.cas.cz/|||http://eu.avcr.cz/Knihovny/"
farmakologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"farmakologicky_ustav---Ústav experimentální medicíny|||Vídeňská 1083, 142 20 Praha 4|||http://www.iem.cas.cz/|||"
filosoficky_ustav,avcr,AV ČR,research,Věda a výzkum,"filosoficky_ustav---Filosofický ústav|||Jilská 1,  110 00 Praha 1|||http://www.flu.cas.cz|||http://knihovna.flu.cas.cz/cs/"
fyzikalni_ustav,avcr,AV ČR,research,Věda a výzkum,"fyzikalni_ustav---Fyzikální ústav|||Na Slovance 2,  182 21 Praha 8|||http://www.fzu.cz/|||http://www.fzu.cz/knihovna"
fyziologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"fyziologicky_ustav---Fyziologický ústav|||Vídeňská 1083, Praha 4, 142 20|||http://www.fgu.cas.cz/|||http://sun2.biomed.cas.cz/fgu/knihovna/svi_fgu.html"
geofyzikalni_ustav,avcr,AV ČR,research,Věda a výzkum,"geofyzikalni_ustav---Geofyzikální ústav|||Boční II/1401,  141 31 Praha 4|||http://www.ig.cas.cz/|||http://www.ig.cas.cz/struktura/knihovna"
geologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"geologicky_ustav---Geologický ústav|||Rozvojová 269, 165 00 Praha 6|||http://www.gli.cas.cz|||http://www.gli.cas.cz/cs/skupina/knihovna"
historicky_ustav,avcr,AV ČR,research,Věda a výzkum,"historicky_ustav---Historický ústav|||Prosecká 76, 190 00 Praha 9|||http://www.hiu.cas.cz/|||http://www.hiu.cas.cz/cs/knihovny/knihovna-praha.ep/"
hydrobiologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"hydrobiologicky_ustav---Hydrobiologický ústav|||Na Sádkách 7, 370 05 České Budějovice|||http://www.hbu.cas.cz|||"
knihovna_av_cr,avcr,AV ČR,research,Věda a výzkum,"knihovna_av_cr---Knihovna AV ČR|||Národní 3, 115 22 Praha 1|||http://www.lib.cas.cz/|||"
masarykuv_ustav_a_archiv,avcr,AV ČR,research,Věda a výzkum,"masarykuv_ustav_a_archiv---Masarykův ústav + Archiv|||Na Florenci 3, Praha 1|||http://www.mua.cas.cz|||http://www.mua.cas.cz/cs/knihovna-106"
matematicky_ustav,avcr,AV ČR,research,Věda a výzkum,"matematicky_ustav---Matematický ústav|||Žitná 25, 115 67 Praha 1|||http://www.math.cas.cz|||http://library.math.cas.cz/lib-cz.html"
mikrobiologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"mikrobiologicky_ustav---Mikrobiologický ústav|||Vídeňská 1083, 142 20 Praha 4|||http://www.biomed.cas.cz/mbu/cz/|||"
narodohospodarsky_ustav,avcr,AV ČR,research,Věda a výzkum,"narodohospodarsky_ustav---Národohospodářský ústav|||Politických vězňů 7, 111 21 Praha 1|||http://www.ei.cas.cz|||"
