Název VŠ;Součást vysoké školy;Název programu;Typ programu;Forma studia;Doba studia;Název oboru;Jazyk výuky;Oprávnění konat rigorózní zkoušku;Komise;Akreditace udělena;Datum platnosti akreditace;Akreditace omezena;Číslo jednací;STUDPROG;AKVO
Akademie múzických umění v Praze;Divadelní fakulta;Divadelní tvorba v netradičních prostorech;Bakalářský;P;3;Herectví alternativního divadla;Česky;NE;02/2010;ANO;31.05.2016;NE;11137/2010;B8212;8203R082
Akademie múzických umění v Praze;Divadelní fakulta;Divadelní tvorba v netradičních prostorech;Bakalářský;P;3;Performerství;Česky;NE;03/2011;ANO;31.05.2016;NE;21736/2011;B8212;8203R087
Akademie múzických umění v Praze;Divadelní fakulta;Divadelní tvorba v netradičních prostorech;Bakalářský;P;3;Režie - dramaturgie alternativního divadla;Česky;NE;02/2010;ANO;31.05.2016;NE;11137/2010;B8212;8203R083
Akademie múzických umění v Praze;Divadelní fakulta;Divadelní tvorba v netradičních prostorech;Bakalářský;P;3;Scénografie alternativního divadla;Česky;NE;02/2010;ANO;31.05.2016;NE;11137/2010;B8212;8203R084
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Arts Management;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T051
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Authorial Acting;Anglicky;NE;03/2013;ANO;31.03.2021;NE;28241/2013;N8203;8203T045
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Directing of Alternative and Puppet Theatre;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T068
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Directing of Dramatic Theatre;Anglicky;NE;01/2014;ANO;01.06.2022;NE;6044/2014;N8203;8203T055
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Stage Design;Anglicky;NE;05/2013;ANO;31.03.2021;NE;48769/2013;N8203;8203T058
Akademie múzických umění v Praze;Divadelní fakulta;Dramatic Arts;Navazující magisterský;P;2;Stage Design in Alternative and Puppet Theatre;Anglicky;NE;03/2014;ANO;01.11.2022;NE;MSMT/24431/2014;N8203;8203T062
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;K;4;Dramatická výchova;Česky;NE;02/2012;ANO;30.11.2016;NE;16406/2012;B8216;8203R007
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;K, P;3;Dramatická výchova;Česky;NE;01/2013;ANO;31.03.2021;NE;7481/2013;B8203;8203R007
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Herectví alternativního a loutkového divadla;Česky;NE;02/2012;ANO;31.07.2018;NE;16406/2012;B8203;8203R043
Akademie múzických umění v Praze;Divadelní fakulta;Dramatická umění;Bakalářský;P;3;Herectví se zaměřením na autorskou tvorbu a pedagogiku;Česky;NE;02/2012;ANO;31.07.2018;NE;16406/2012;B8203;8203R045
